exper_id,exper_type,model_type,clients,clients_per_node,epochs,threshold,batch_size,duration,timestamp,steps_per_epoch,data_sync,data_non_sync
0,Synchronous SGD,lenet5,8,"[2, 2, 2, 2]",100,,128,175.5068666934967,07-10-2023 03:50,58,0.246824,4e-06
1,Synchronous SGD,lenet5,6,"[2, 2, 2]",100,,128,227.8190217018128,07-10-2023 03:50,78,0.246824,4e-06
2,Synchronous SGD,lenet5,4,"[2, 2]",100,,128,365.5579791069031,07-10-2023 03:50,117,0.246824,4e-06
3,Naive FDA,lenet5,8,"[2, 2, 2, 2]",100,1.0,128,181.00292658805847,07-10-2023 03:56,58,0.246824,4e-06
4,Naive FDA,lenet5,6,"[2, 2, 2]",100,1.0,128,233.2107849121093,07-10-2023 03:56,78,0.246824,4e-06
5,Synchronous SGD,lenet5,2,[2],100,,128,674.367876291275,07-10-2023 03:50,234,0.246824,4e-06
6,Synchronous SGD,lenet5,8,"[2, 2, 2, 2]",100,,128,176.6022880077362,07-10-2023 04:01,58,0.246824,4e-06
7,Naive FDA,lenet5,4,"[2, 2]",100,1.0,128,374.2654459476471,07-10-2023 03:59,117,0.246824,4e-06
8,Synchronous SGD,lenet5,6,"[2, 2, 2]",100,,128,230.9418842792511,07-10-2023 04:03,78,0.246824,4e-06
9,Naive FDA,lenet5,8,"[2, 2, 2, 2]",100,1.0,128,181.1302824020385,07-10-2023 04:07,58,0.246824,4e-06
10,Naive FDA,lenet5,6,"[2, 2, 2]",100,1.0,128,234.2228512763977,07-10-2023 04:09,78,0.246824,4e-06
11,Synchronous SGD,lenet5,4,"[2, 2]",100,,128,365.40634274482727,07-10-2023 04:08,117,0.246824,4e-06
12,Synchronous SGD,lenet5,8,"[2, 2, 2, 2]",100,,128,175.32594394683838,07-10-2023 04:12,58,0.246824,4e-06
13,Naive FDA,lenet5,2,[2],100,1.0,128,675.1971173286438,07-10-2023 04:05,234,0.246824,4e-06
14,Synchronous SGD,lenet5,6,"[2, 2, 2]",100,,128,228.0049104690552,07-10-2023 04:16,78,0.246824,4e-06
15,Naive FDA,lenet5,8,"[2, 2, 2, 2]",100,1.0,128,182.21993350982663,07-10-2023 04:18,58,0.246824,4e-06
16,Naive FDA,lenet5,4,"[2, 2]",100,1.0,128,377.4364647865296,07-10-2023 04:17,117,0.246824,4e-06
17,Naive FDA,lenet5,6,"[2, 2, 2]",100,1.0,128,233.7282943725586,07-10-2023 04:22,78,0.246824,4e-06
18,Synchronous SGD,lenet5,8,"[2, 2, 2, 2]",100,,128,175.36524653434753,07-10-2023 04:23,58,0.246824,4e-06
19,Synchronous SGD,lenet5,2,[2],100,,128,674.9252688884735,07-10-2023 04:19,234,0.246824,4e-06
20,Naive FDA,lenet5,8,"[2, 2, 2, 2]",100,1.0,128,181.51391887664795,07-10-2023 04:28,58,0.246824,4e-06
21,Synchronous SGD,lenet5,6,"[2, 2, 2]",100,,128,229.34011459350583,07-10-2023 04:28,78,0.246824,4e-06
22,Synchronous SGD,lenet5,4,"[2, 2]",100,,128,364.4910318851471,07-10-2023 04:27,117,0.246824,4e-06
23,Synchronous SGD,lenet5,8,"[2, 2, 2, 2]",100,,128,174.74385237693787,07-10-2023 04:34,58,0.246824,4e-06
24,Naive FDA,lenet5,6,"[2, 2, 2]",100,1.0,128,233.10663604736328,07-10-2023 04:35,78,0.246824,4e-06
25,Naive FDA,lenet5,4,"[2, 2]",100,1.0,128,371.2473502159119,07-10-2023 04:35,117,0.246824,4e-06
26,Naive FDA,lenet5,8,"[2, 2, 2, 2]",100,1.0,128,182.1373240947724,07-10-2023 04:39,58,0.246824,4e-06
27,Synchronous SGD,lenet5,6,"[2, 2, 2]",100,,128,228.2953805923462,07-10-2023 04:41,78,0.246824,4e-06
28,Naive FDA,lenet5,2,[2],100,1.0,128,683.5837187767029,07-10-2023 04:33,234,0.246824,4e-06
29,Synchronous SGD,lenet5,4,"[2, 2]",100,,128,365.5911412239074,07-10-2023 04:44,117,0.246824,4e-06
30,Naive FDA,lenet5,6,"[2, 2, 2]",100,1.0,128,232.20749425888064,07-10-2023 04:48,78,0.246824,4e-06
31,Synchronous SGD,lenet5,2,[2],100,,128,679.1895141601562,07-10-2023 04:48,234,0.246824,4e-06
32,Naive FDA,lenet5,4,"[2, 2]",100,1.0,128,373.8761236667633,07-10-2023 04:53,117,0.246824,4e-06
33,Synchronous SGD,lenet5,4,"[2, 2]",100,,128,366.8473455905914,07-10-2023 05:02,117,0.246824,4e-06
34,Naive FDA,lenet5,2,[2],100,1.0,128,679.4973964691162,07-10-2023 05:02,234,0.246824,4e-06
35,Naive FDA,lenet5,4,"[2, 2]",100,1.0,128,376.0495512485504,07-10-2023 05:11,117,0.246824,4e-06
36,Synchronous SGD,lenet5,2,[2],100,,128,675.9428267478943,07-10-2023 05:17,234,0.246824,4e-06
37,Naive FDA,lenet5,2,[2],100,1.0,128,681.0739076137543,07-10-2023 05:31,234,0.246824,4e-06
38,Synchronous SGD,lenet5,2,[2],100,,128,669.9735913276672,07-10-2023 05:46,234,0.246824,4e-06
39,Naive FDA,lenet5,2,[2],100,1.0,128,676.4290263652802,07-10-2023 06:00,234,0.246824,4e-06
40,Synchronous SGD,lenet5,64,"[8, 8, 8, 8, 8, 8, 8, 8]",100,,128,36.24913692474365,07-10-2023 11:33,7,0.246824,4e-06
41,Naive FDA,lenet5,64,"[8, 8, 8, 8, 8, 8, 8, 8]",100,1.0,128,36.54048681259155,07-10-2023 11:36,7,0.246824,4e-06
42,Synchronous SGD,lenet5,64,"[8, 8, 8, 8, 8, 8, 8, 8]",100,,128,36.45092296600342,07-10-2023 11:38,7,0.246824,4e-06
43,Naive FDA,lenet5,64,"[8, 8, 8, 8, 8, 8, 8, 8]",100,1.0,128,36.68069291114807,07-10-2023 11:41,7,0.246824,4e-06
44,Synchronous SGD,lenet5,64,"[8, 8, 8, 8, 8, 8, 8, 8]",100,,128,36.813384771347046,07-10-2023 11:44,7,0.246824,4e-06
45,Naive FDA,lenet5,64,"[8, 8, 8, 8, 8, 8, 8, 8]",100,1.0,128,36.32550382614136,07-10-2023 11:46,7,0.246824,4e-06
46,Synchronous SGD,lenet5,64,"[8, 8, 8, 8, 8, 8, 8, 8]",100,,128,36.40443921089173,07-10-2023 11:49,7,0.246824,4e-06
47,Naive FDA,lenet5,64,"[8, 8, 8, 8, 8, 8, 8, 8]",100,1.0,128,36.9882538318634,07-10-2023 11:52,7,0.246824,4e-06
48,Synchronous SGD,lenet5,64,"[8, 8, 8, 8, 8, 8, 8, 8]",100,,128,36.475889682769775,07-10-2023 11:54,7,0.246824,4e-06
49,Naive FDA,lenet5,64,"[8, 8, 8, 8, 8, 8, 8, 8]",100,1.0,128,36.619343757629395,07-10-2023 11:57,7,0.246824,4e-06
